Time,iL1,iL2,V3,V1,vC1,vC2
0.000266,22.2299,-0.221105,0.66,0,16.5013,13.274
0.000267,22.2659,-0.194358,0.67,0,16.7237,13.4718
0.000268,22.3011,-0.167217,0.68,0,16.9466,13.6693
0.000269,22.3355,-0.139681,0.69,0,17.1698,13.8665
0.00027,22.369,-0.11175,0.7,0,17.3933,14.0634
0.000271,22.4017,-0.0834266,0.71,0,17.6171,14.2599
0.000272,22.4335,-0.0547103,0.72,0,17.8413,14.456
0.000273,22.4645,-0.025602,0.73,0,18.0658,14.6518
0.000274,22.4946,0.00389747,0.74,0,18.2906,14.8472
0.000275,22.5239,0.0337873,0.75,0,18.5157,15.0422
0.000276,22.5524,0.0640668,0.76,0,18.7411,15.2368
0.000277,22.58,0.0947352,0.77,0,18.9667,15.431
0.000278,22.6068,0.125791,0.78,0,19.1927,15.6248
0.000279,22.6327,0.157235,0.79,0,19.4189,15.8181
0.00028,22.6578,0.189064,0.8,0,19.6453,16.011
0.000281,22.6821,0.221279,0.81,0,19.872,16.2035
0.000282,22.7055,0.253879,0.82,0,20.099,16.3954
0.000283,22.7281,0.286862,0.83,0,20.3261,16.5869
0.000284,22.7499,0.320227,0.84,0,20.5535,16.7779
0.000285,22.7708,0.353974,0.85,0,20.7811,16.9684
0.000286,22.7909,0.388101,0.86,0,21.0089,17.1584
0.000287,22.8101,0.422607,0.87,0,21.2369,17.3478
0.000288,22.8285,0.457492,0.88,0,21.4651,17.5367
0.000289,22.8461,0.492755,0.89,0,21.6935,17.7251
0.00029,22.8629,0.528393,0.9,0,21.922,17.9129
0.000291,22.8788,0.564407,0.91,0,22.1507,18.1001
0.000292,22.8939,0.600794,0.92,0,22.3796,18.2868
0.000293,22.9081,0.637554,0.93,0,22.6086,18.4728
0.000294,22.9215,0.674685,0.94,0,22.8378,18.6583
0.000295,22.9341,0.712187,0.95,0,23.067,18.8431
0.000296,22.9459,0.750058,0.96,0,23.2964,19.0273
0.000297,22.9568,0.788297,0.97,0,23.526,19.2109
0.000298,22.9669,0.826902,0.98,0,23.7556,19.3939
0.000299,22.9762,0.865873,0.99,0,23.9853,19.5761
0.0003,22.9847,0.905207,1,0,24.2151,19.7578
0.000301,22.9923,0.944904,0.99,0,24.445,19.9387
0.000302,22.9992,0.984962,0.98,0,24.6749,20.1189
0.000303,23.0052,1.02538,0.97,0,24.905,20.2985
0.000304,23.0103,1.06616,0.96,0,25.135,20.4773
0.000305,23.0147,1.10729,0.95,0,25.3652,20.6555
0.000306,23.0183,1.14878,0.94,0,25.5953,20.8329
0.000307,23.021,1.19062,0.93,0,25.8255,21.0095
0.000308,23.0229,1.23282,0.92,0,26.0557,21.1854
0.000309,23.024,1.27536,0.91,0,26.286,21.3606
0.00031,23.0243,1.31826,0.9,0,26.5162,21.535
0.000311,23.0238,1.3615,0.89,0,26.7465,21.7086
0.000312,23.0225,1.40509,0.88,0,26.9767,21.8814
0.000313,23.0204,1.44903,0.87,0,27.2069,22.0534
0.000314,23.0175,1.49331,0.86,0,27.4371,22.2246
0.000315,23.0138,1.53793,0.85,0,27.6673,22.3949
0.000316,23.0092,1.58289,0.84,0,27.8974,22.5645
0.000317,23.0039,1.62818,0.83,0,28.1274,22.7332
0.000318,22.9978,1.67382,0.82,0,28.3574,22.9011
0.000319,22.9909,1.71979,0.81,0,28.5874,23.0681
0.00032,22.9832,1.76609,0.8,0,28.8173,23.2342
0.000321,22.9747,1.81273,0.79,0,29.047,23.3995
0.000322,22.9654,1.85969,0.78,0,29.2767,23.5639
0.000323,22.9553,1.90698,0.77,0,29.5064,23.7273
0.000324,22.9444,1.9546,0.76,0,29.7358,23.8899
0.000325,22.9328,2.00254,0.75,0,29.9652,24.0516
0.000326,22.9204,2.0508,0.74,0,30.1945,24.2123
0.000327,22.9072,2.09939,0.73,0,30.4236,24.3721
0.000328,22.8932,2.14829,0.72,0,30.6526,24.531
0.000329,22.8784,2.19751,0.71,0,30.8815,24.6889
0.00033,22.8629,2.24705,0.7,0,31.1102,24.8458
0.000331,22.8466,2.2969,0.69,0,31.3388,25.0018
0.000332,22.8295,2.34706,0.68,0,31.5671,25.1568
0.000333,22.8117,2.39752,0.67,0,31.7953,25.3108
0.000334,22.7931,2.4483,0.66,0,32.0234,25.4638
0.000335,22.7738,2.49938,0.65,0,32.2512,25.6159
0.000336,22.7537,2.55076,0.64,0,32.4788,25.7669
0.000337,22.7328,2.60245,0.63,0,32.7063,25.9168
0.000338,22.7112,2.65443,0.62,0,32.9335,26.0658
0.000339,22.6888,2.70671,0.61,0,33.1605,26.2137
0.00034,22.6657,2.75928,0.6,0,33.3873,26.3606
0.000341,22.6418,2.81215,0.59,0,33.6138,26.5064
0.000342,22.6172,2.86531,0.58,0,33.8401,26.6511
0.000343,22.5918,2.91876,0.57,0,34.0661,26.7948
0.000344,22.5657,2.97249,0.56,0,34.2919,26.9374
0.000345,22.5389,3.0265,0.55,0,34.5174,27.0789
0.000346,22.5114,3.0808,0.54,0,34.7427,27.2194
0.000347,22.4831,3.13538,0.53,0,34.9677,27.3587
0.000348,22.4541,3.19024,0.52,0,35.1924,27.4969
0.000349,22.4243,3.24537,0.51,0,35.4167,27.6339
0.00035,22.3939,3.30077,0.5,0,35.6408,27.7699
0.000351,22.3627,3.35645,0.49,0,35.8646,27.9047
0.000352,22.3308,3.41239,0.48,0,36.0881,28.0384
0.000353,22.2982,3.4686,0.47,0,36.3112,28.1709
0.000354,22.2648,3.52507,0.46,0,36.534,28.3023
