Time,iL1,iL2,vC1,vC2,V2,V3,V1
0.000222,9.80492,0.529083,11.2015,0.148639,0.4,0.22,1
0.000223,9.84167,0.54018,11.2944,0.153683,0.4,0.23,1
0.000224,9.87833,0.551365,11.3875,0.158828,0.4,0.24,1
0.000225,9.9149,0.562638,11.4809,0.164075,0.4,0.25,1
0.000226,9.95137,0.573999,11.5746,0.169425,0.4,0.26,1
0.000227,9.98775,0.585448,11.6685,0.174878,0.4,0.27,1
0.000228,10.024,0.596986,11.7626,0.180435,0.4,0.28,1
0.000229,10.0602,0.608612,11.857,0.186096,0.4,0.29,1
0.00023,10.0963,0.620328,11.9517,0.191863,0.4,0.3,1
0.000231,10.1323,0.632132,12.0465,0.197736,0.4,0.31,1
0.000232,10.1682,0.644025,12.1417,0.203715,0.4,0.32,1
0.000233,10.204,0.656008,12.237,0.209802,0.4,0.33,1
0.000234,10.2397,0.66808,12.3326,0.215996,0.4,0.34,1
0.000235,10.2754,0.680241,12.4284,0.2223,0.4,0.35,1
0.000236,10.3109,0.692492,12.5245,0.228712,0.4,0.36,1
0.000237,10.3463,0.704833,12.6208,0.235235,0.4,0.37,1
0.000238,10.3817,0.717263,12.7173,0.241869,0.4,0.38,1
0.000239,10.4169,0.729784,12.8141,0.248613,0.4,0.39,1
0.00024,10.452,0.742394,12.9111,0.25547,0.4,0.4,1
0.000241,10.487,0.742134,13.0159,0.262371,0.4,0.41,0
0.000242,10.5219,0.741866,13.121,0.269255,0.4,0.42,0
0.000243,10.5568,0.741594,13.2264,0.276127,0.4,0.43,0
0.000244,10.5915,0.741314,13.3321,0.282982,0.4,0.44,0
0.000245,10.6261,0.741028,13.4382,0.289821,0.4,0.45,0
0.000246,10.6606,0.740734,13.5447,0.296644,0.4,0.46,0
0.000247,10.695,0.740434,13.6514,0.303449,0.4,0.47,0
0.000248,10.7293,0.740127,13.7586,0.310239,0.4,0.48,0
0.000249,10.7635,0.739814,13.866,0.317011,0.4,0.49,0
0.00025,10.7976,0.739493,13.9738,0.323767,0.4,0.5,0
0.000251,10.8315,0.739166,14.082,0.330506,0.4,0.51,0
0.000252,10.8654,0.738832,14.1905,0.337228,0.4,0.52,0
0.000253,10.8992,0.738492,14.2993,0.343933,0.4,0.53,0
0.000254,10.9328,0.738145,14.4084,0.350622,0.4,0.54,0
0.000255,10.9663,0.737791,14.5179,0.357294,0.4,0.55,0
0.000256,10.9998,0.73743,14.6278,0.363949,0.4,0.56,0
0.000257,11.0331,0.737063,14.7379,0.370587,0.4,0.57,0
0.000258,11.0663,0.736689,14.8484,0.377208,0.4,0.58,0
0.000259,11.0994,0.736308,14.9593,0.383812,0.4,0.59,0
0.00026,11.1324,0.735921,15.0704,0.390399,0.4,0.6,0
0.000261,11.1653,0.735527,15.1819,0.396968,0.4,0.61,0
0.000262,11.198,0.735127,15.2937,0.403521,0.4,0.62,0
0.000263,11.2307,0.73472,15.4059,0.410057,0.4,0.63,0
0.000264,11.2632,0.734307,15.5183,0.416575,0.4,0.64,0
