Time,iL,v
0.00048,15.459,-16.7265
0.000481,15.4255,-16.8473
0.000482,15.3916,-16.9676
0.000483,15.3576,-17.0873
0.000484,15.3233,-17.2064
0.000485,15.2888,-17.3249
0.000486,15.254,-17.4429
0.000487,15.219,-17.5602
0.000488,15.1837,-17.677
0.000489,15.1483,-17.7932
0.00049,15.1126,-17.9088
0.000491,15.0766,-18.0238
0.000492,15.0405,-18.1382
0.000493,15.0041,-18.2521
0.000494,14.9675,-18.3653
0.000495,14.9306,-18.478
0.000496,14.8936,-18.59
0.000497,14.8563,-18.7015
0.000498,14.8188,-18.8123
0.000499,14.781,-18.9226
0.0005,14.7431,-19.0323
0.000501,14.7049,-19.1413
0.000502,14.6665,-19.2498
0.000503,14.6279,-19.3576
0.000504,14.5891,-19.4649
0.000505,14.55,-19.5716
0.000506,14.5108,-19.6776
0.000507,14.4713,-19.7831
0.000508,14.4316,-19.8879
0.000509,14.3918,-19.9922
0.00051,14.3517,-20.0958
0.000511,14.3114,-20.1988
0.000512,14.2709,-20.3012
0.000513,14.2302,-20.403
0.000514,14.1893,-20.5042
0.000515,14.1482,-20.6048
0.000516,14.1069,-20.7048
0.000517,14.0653,-20.8041
0.000518,14.0236,-20.9028
0.000519,13.9817,-21.001
0.00052,13.9396,-21.0985
0.000521,13.8973,-21.1954
0.000522,13.8548,-21.2916
0.000523,13.8122,-21.3873
0.000524,13.7693,-21.4823
0.000525,13.7262,-21.5767
0.000526,13.683,-21.6705
0.000527,13.6396,-21.7637
0.000528,13.5959,-21.8563
0.000529,13.5521,-21.9482
0.00053,13.5081,-22.0395
0.000531,13.464,-22.1302
0.000532,13.4196,-22.2203
0.000533,13.3751,-22.3097
0.000534,13.3304,-22.3986
0.000535,13.2855,-22.4867
0.000536,13.2404,-22.5743
0.000537,13.1952,-22.6613
0.000538,13.1498,-22.7476
0.000539,13.1042,-22.8333
0.00054,13.0585,-22.9183
0.000541,13.0125,-23.0028
0.000542,12.9665,-23.0866
0.000543,12.9202,-23.1697
