Time,iL,v,V1,V2
0.000551,3.42866,7.98607,1,0
0.000552,3.4264,8.00436,1,0
0.000553,3.42417,8.02258,1,0
0.000554,3.42195,8.04075,1,0
0.000555,3.41975,8.05886,1,0
0.000556,3.41757,8.07691,1,0
0.000557,3.4154,8.0949,1,0
0.000558,3.41325,8.11284,1,0
0.000559,3.41111,8.13072,1,0
0.00056,3.40899,8.14854,1,0
0.000561,3.42293,8.13227,0,1
0.000562,3.43653,8.11603,0,1
0.000563,3.44989,8.09981,0,1
0.000564,3.46294,8.08363,0,1
0.000565,3.47568,8.06748,0,1
0.000566,3.48811,8.05136,0,1
0.000567,3.50025,8.03527,0,1
0.000568,3.5121,8.01922,0,1
0.000569,3.52367,8.00319,0,1
0.00057,3.53497,7.9872,0,1
0.000571,3.546,7.97124,0,1
0.000572,3.55676,7.95532,0,1
0.000573,3.56728,7.93942,0,1
0.000574,3.57754,7.92356,0,1
0.000575,3.58756,7.90773,0,1
0.000576,3.59734,7.89193,0,1
0.000577,3.60689,7.87616,0,1
0.000578,3.61621,7.86043,0,1
0.000579,3.62531,7.84472,0,1
0.00058,3.6342,7.82905,0,1
0.000581,3.64287,7.8134,0,1
0.000582,3.65134,7.79779,0,1
0.000583,3.65961,7.78221,0,1
0.000584,3.66768,7.76666,0,1
0.000585,3.67556,7.75115,0,1
0.000586,3.68326,7.73566,0,1
0.000587,3.69077,7.7202,0,1
0.000588,3.6981,7.70478,0,1
0.000589,3.70526,7.68938,0,1
0.00059,3.71225,7.67402,0,1
0.000591,3.71908,7.65869,0,1
0.000592,3.72574,7.64339,0,1
0.000593,3.73224,7.62811,0,1
0.000594,3.73859,7.61287,0,1
0.000595,3.74479,7.59766,0,1
0.000596,3.75084,7.58248,0,1
0.000597,3.75675,7.56733,0,1
0.000598,3.76252,7.55221,0,1
0.000599,3.76815,7.53712,0,1
0.0006,3.77365,7.52206,0,1
0.000601,3.77902,7.50704,0,1
0.000602,3.78426,7.49204,0,1
0.000603,3.78938,7.47707,0,1
0.000604,3.79437,7.46213,0,1
0.000605,3.79925,7.44722,0,1
0.000606,3.80401,7.43234,0,1
0.000607,3.80866,7.41749,0,1
0.000608,3.81319,7.40267,0,1
0.000609,3.81762,7.38788,0,1
0.00061,3.82195,7.37312,0,1
0.000611,3.82617,7.35839,0,1
0.000612,3.83029,7.34368,0,1
0.000613,3.83432,7.32901,0,1
0.000614,3.83825,7.31437,0,1
0.000615,3.84208,7.29975,0,1
0.000616,3.84583,7.28517,0,1
0.000617,3.84948,7.27061,0,1
0.000618,3.85305,7.25609,0,1
0.000619,3.85654,7.24159,0,1
0.00062,3.85994,7.22712,0,1
0.000621,3.86326,7.21268,0,1
0.000622,3.86651,7.19827,0,1
0.000623,3.86967,7.18389,0,1
0.000624,3.87276,7.16953,0,1
0.000625,3.87578,7.15521,0,1
0.000626,3.87872,7.14091,0,1
0.000627,3.8816,7.12665,0,1
0.000628,3.88441,7.11241,0,1
0.000629,3.88715,7.0982,0,1
0.00063,3.88983,7.08401,0,1
0.000631,3.89244,7.06986,0,1
0.000632,3.89499,7.05573,0,1
0.000633,3.89748,7.04164,0,1
0.000634,3.89991,7.02757,0,1
0.000635,3.90228,7.01353,0,1
0.000636,3.9046,6.99951,0,1
0.000637,3.90686,6.98553,0,1
0.000638,3.90907,6.97157,0,1
0.000639,3.91123,6.95764,0,1
0.00064,3.91333,6.94374,0,1
0.000641,3.9017,6.96886,1,0
0.000642,3.89029,6.99382,1,0
0.000643,3.87904,7.01865,1,0
0.000644,3.86802,7.04333,1,0
0.000645,3.8572,7.06784,1,0
0.000646,3.8466,7.0922,1,0
0.000647,3.8362,7.1164,1,0
0.000648,3.82599,7.14046,1,0
0.000649,3.81598,7.16436,1,0
0.00065,3.80617,7.18812,1,0
0.000651,3.79653,7.21174,1,0
0.000652,3.78708,7.23521,1,0
0.000653,3.77781,7.25854,1,0
0.000654,3.76871,7.28173,1,0
0.000655,3.75978,7.30479,1,0
0.000656,3.75102,7.32771,1,0
0.000657,3.74242,7.3505,1,0
0.000658,3.73398,7.37315,1,0
0.000659,3.7257,7.39568,1,0
0.00066,3.71756,7.41809,1,0
0.000661,3.70958,7.44036,1,0
0.000662,3.70174,7.46252,1,0
0.000663,3.69404,7.48455,1,0
0.000664,3.68649,7.50646,1,0
0.000665,3.67906,7.52825,1,0
0.000666,3.67178,7.54993,1,0
0.000667,3.66462,7.57149,1,0
0.000668,3.65759,7.59294,1,0
0.000669,3.65068,7.61427,1,0
0.00067,3.6439,7.63549,1,0
0.000671,3.63723,7.65661,1,0
0.000672,3.63068,7.67761,1,0
0.000673,3.62425,7.69851,1,0
0.000674,3.61792,7.7193,1,0
0.000675,3.61171,7.73999,1,0
0.000676,3.6056,7.76058,1,0
0.000677,3.59959,7.78106,1,0
0.000678,3.59369,7.80145,1,0
0.000679,3.58789,7.82173,1,0
0.00068,3.58219,7.84192,1,0
0.000681,3.57658,7.86201,1,0
0.000682,3.57106,7.882,1,0
0.000683,3.56564,7.9019,1,0
0.000684,3.5603,7.92171,1,0
0.000685,3.55505,7.94142,1,0
