Time,I(Le),I(L),Vc
0.000279,25.6294,1.19612,99.3702
0.00028,25.613,1.18052,99.8826
0.000281,25.5957,1.16494,100.395
0.000282,25.5775,1.14936,100.906
0.000283,25.5585,1.13379,101.418
0.000284,25.5387,1.11822,101.929
0.000285,25.518,1.10267,102.439
0.000286,25.4966,1.08712,102.949
0.000287,25.4742,1.07158,103.459
0.000288,25.4511,1.05605,103.968
0.000289,25.4271,1.04053,104.477
0.00029,25.4022,1.02501,104.985
0.000291,25.3766,1.0095,105.493
0.000292,25.3501,0.994,106.001
0.000293,25.3228,0.978507,106.507
0.000294,25.2946,0.963021,107.013
0.000295,25.2657,0.947544,107.519
0.000296,25.2359,0.932074,108.024
0.000297,25.2053,0.916611,108.528
0.000298,25.1738,0.901157,109.032
0.000299,25.1416,0.88571,109.535
0.0003,25.1085,0.870271,110.038
0.000301,25.0747,0.85484,110.54
0.000302,25.04,0.839416,111.041
0.000303,25.0045,0.824001,111.541
0.000304,24.9682,0.808592,112.041
0.000305,24.931,0.793192,112.54
0.000306,24.8931,0.777799,113.038
0.000307,24.8544,0.762414,113.536
0.000308,24.8149,0.747037,114.032
0.000309,24.7745,0.731667,114.528
0.00031,24.7334,0.716305,115.023
0.000311,24.6915,0.700951,115.518
0.000312,24.6488,0.685604,116.011
0.000313,24.6052,0.670265,116.504
0.000314,24.5609,0.654934,116.995
0.000315,24.5159,0.63961,117.486
0.000316,24.47,0.624294,117.976
0.000317,24.4233,0.608986,118.465
0.000318,24.3759,0.593685,118.953
0.000319,24.3276,0.578392,119.44
0.00032,24.2786,0.563107,119.926
0.000321,24.2288,0.547829,120.411
0.000322,24.1783,0.532559,120.895
0.000323,24.127,0.517297,121.378
0.000324,24.0749,0.502042,121.86
0.000325,24.022,0.486795,122.341
0.000326,23.9684,0.471555,122.821
0.000327,23.914,0.456323,123.3
0.000328,23.8588,0.441099,123.778
0.000329,23.8029,0.425882,124.254
0.00033,23.7462,0.410673,124.73
0.000331,23.6884,0.460434,125.217
0.000332,23.7437,0.476238,119.488
0.000333,23.695,0.52322,119.952
0.000334,23.6457,0.570351,120.414
0.000335,23.5958,0.617678,120.875
0.000336,23.5451,0.665203,121.333
0.000337,23.4937,0.712922,121.79
0.000338,23.4416,0.760835,122.244
0.000339,23.3888,0.808941,122.697
0.00034,23.3353,0.857238,123.148
0.000341,23.2811,0.905726,123.596
0.000342,23.2262,0.954403,124.043
0.000343,23.1706,1.00327,124.487
