Time,I(L1),Vout
0.000593,-3.20164,35.9694
0.000594,-3.22569,35.9792
0.000595,-3.12969,35.8433
0.000596,-3.03369,35.7079
0.000597,-2.93769,35.5729
0.000598,-2.84169,35.4384
0.000599,-2.74569,35.3044
0.0006,-2.64969,35.171
0.000601,-2.67537,35.1591
0.000602,-2.70106,35.1484
0.000603,-2.72678,35.1387
0.000604,-2.75251,35.1301
0.000605,-2.77825,35.1228
0.000606,-2.80401,35.1166
0.000607,-2.82979,35.1116
0.000608,-2.85557,35.1079
0.000609,-2.88135,35.1053
0.00061,-2.90714,35.1038
0.000611,-2.93294,35.1036
0.000612,-2.95873,35.1045
0.000613,-2.98452,35.1066
0.000614,-3.0103,35.1099
0.000615,-2.9143,34.9773
0.000616,-2.8183,34.8452
0.000617,-2.7223,34.7134
0.000618,-2.6263,34.5822
0.000619,-2.5303,34.4514
0.00062,-2.4343,34.3212
0.000621,-2.46169,34.3028
0.000622,-2.48911,34.2858
0.000623,-2.51655,34.2697
0.000624,-2.54402,34.2549
0.000625,-2.57153,34.2415
0.000626,-2.59906,34.2293
0.000627,-2.62661,34.2184
0.000628,-2.65418,34.2088
0.000629,-2.68177,34.2005
0.00063,-2.70938,34.1935
0.000631,-2.737,34.1878
0.000632,-2.76463,34.1834
0.000633,-2.79226,34.1802
0.000634,-2.8199,34.1783
0.000635,-2.7239,34.0492
0.000636,-2.6279,33.9206
0.000637,-2.5319,33.7923
0.000638,-2.4359,33.6645
0.000639,-2.3399,33.5373
0.00064,-2.2439,33.4105
0.000641,-2.27312,33.387
0.000642,-2.30238,33.3649
0.000643,-2.33167,33.3439
0.000644,-2.361,33.3243
0.000645,-2.39037,33.3061
0.000646,-2.41977,33.2892
0.000647,-2.44921,33.2738
0.000648,-2.47868,33.2598
0.000649,-2.50817,33.2472
0.00065,-2.53769,33.236
0.000651,-2.56722,33.2261
0.000652,-2.59678,33.2176
0.000653,-2.62635,33.2105
0.000654,-2.65594,33.2048
0.000655,-2.55994,33.0794
0.000656,-2.46394,32.9544
0.000657,-2.36794,32.8298
0.000658,-2.27194,32.7057
0.000659,-2.17594,32.5821
0.00066,-2.07994,32.4589
0.000661,-2.11106,32.4316
0.000662,-2.14223,32.4059
0.000663,-2.17345,32.3812
0.000664,-2.20471,32.3581
0.000665,-2.23601,32.3365
0.000666,-2.26736,32.3164
0.000667,-2.29875,32.2978
0.000668,-2.33017,32.2807
0.000669,-2.36162,32.2651
0.00067,-2.3931,32.251
0.000671,-2.42462,32.2383
0.000672,-2.45615,32.2272
0.000673,-2.48771,32.2175
0.000674,-2.51928,32.2093
0.000675,-2.42328,32.0876
0.000676,-2.32728,31.9664
0.000677,-2.23128,31.8455
0.000678,-2.13528,31.7251
0.000679,-2.03928,31.6052
0.00068,-1.94328,31.4857
0.000681,-1.97635,31.456
0.000682,-2.00948,31.4279
0.000683,-2.04265,31.401
0.000684,-2.07588,31.3757
0.000685,-2.10915,31.352
0.000686,-2.14247,31.3299
0.000687,-2.17583,31.3094
0.000688,-2.20923,31.2905
0.000689,-2.24266,31.2732
0.00069,-2.27613,31.2575
0.000691,-2.30963,31.2433
0.000692,-2.34316,31.2308
0.000693,-2.37671,31.2197
0.000694,-2.41028,31.2103
0.000695,-2.31428,31.0924
0.000696,-2.21828,30.975
0.000697,-2.12228,30.8579
0.000698,-2.02628,30.7412
0.000699,-1.93028,30.625
0.0007,-1.83428,30.5092
0.000701,-1.8693,30.4783
0.000702,-1.90439,30.4491
0.000703,-1.93952,30.4212
0.000704,-1.9747,30.3949
0.000705,-2.00994,30.3704
0.000706,-2.04522,30.3476
0.000707,-2.08055,30.3264
0.000708,-2.11591,30.307
0.000709,-2.15132,30.2892
0.00071,-2.18675,30.2731
0.000711,-2.22222,30.2586
0.000712,-2.25772,30.2459
0.000713,-2.29324,30.2348
0.000714,-2.32878,30.2253
0.000715,-2.23278,30.1111
0.000716,-2.13678,29.9974
0.000717,-2.04078,29.884
0.000718,-1.94478,29.771
0.000719,-1.84878,29.6584
0.00072,-1.75278,29.5463
0.000721,-1.78973,29.5154
0.000722,-1.82674,29.4863
0.000723,-1.8638,29.4585
0.000724,-1.90091,29.4326
0.000725,-1.93807,29.4084
0.000726,-1.97527,29.386
0.000727,-2.01252,29.3653
0.000728,-2.04981,29.3465
0.000729,-2.08713,29.3294
0.00073,-2.12449,29.314
0.000731,-2.16187,29.3004
0.000732,-2.19929,29.2886
0.000733,-2.23672,29.2785
0.000734,-2.27417,29.2701
0.000735,-2.17817,29.1595
0.000736,-2.08217,29.0494
0.000737,-1.98617,28.9396
0.000738,-1.89017,28.8302
0.000739,-1.79417,28.7212
0.00074,-1.69817,28.6126
0.000741,-1.73699,28.5828
0.000742,-1.77587,28.5549
