Time,I,V
0.000848,1.64007,24.0588
0.000849,1.62081,24.0745
0.00085,1.60155,24.0891
0.000851,1.58227,24.1026
0.000852,1.56299,24.115
0.000853,1.54369,24.1264
0.000854,1.52438,24.1367
0.000855,1.50507,24.1459
0.000856,1.48575,24.1541
0.000857,1.46642,24.1613
0.000858,1.44709,24.1674
0.000859,1.42776,24.1724
0.00086,1.40842,24.1764
0.000861,1.44342,24.1049
0.000862,1.47842,24.0337
0.000863,1.51342,23.9626
0.000864,1.54842,23.8917
0.000865,1.58342,23.821
0.000866,1.61842,23.7505
0.000867,1.59941,23.7657
0.000868,1.58039,23.7797
0.000869,1.56136,23.793
0.00087,1.54232,23.8053
0.000871,1.52327,23.8165
0.000872,1.50421,23.8266
0.000873,1.48515,23.8357
0.000874,1.46607,23.8438
0.000875,1.447,23.8508
0.000876,1.42791,23.8568
0.000877,1.40883,23.8617
0.000878,1.38973,23.8657
0.000879,1.37064,23.8686
0.00088,1.35154,23.8704
0.000881,1.38654,23.7998
0.000882,1.42154,23.7295
0.000883,1.45654,23.6593
0.000884,1.49154,23.5893
0.000885,1.52654,23.5195
0.000886,1.56154,23.4499
0.000887,1.54278,23.4629
0.000888,1.524,23.4749
0.000889,1.50521,23.4861
0.00089,1.48642,23.4963
0.000891,1.46762,23.5054
0.000892,1.44881,23.5135
0.000893,1.43,23.5206
0.000894,1.41118,23.5267
0.000895,1.39236,23.5317
0.000896,1.37353,23.5357
0.000897,1.3547,23.5388
0.000898,1.33587,23.5408
0.000899,1.31703,23.5417
0.0009,1.2982,23.5417
0.000901,1.3332,23.4721
0.000902,1.3682,23.4027
0.000903,1.4032,23.3335
0.000904,1.4382,23.2645
0.000905,1.4732,23.1956
0.000906,1.5082,23.127
0.000907,1.48969,23.1382
0.000908,1.47118,23.1483
0.000909,1.45265,23.1576
0.00091,1.43412,23.166
0.000911,1.41559,23.1733
0.000912,1.39705,23.1797
0.000913,1.3785,23.185
0.000914,1.35995,23.1893
0.000915,1.3414,23.1926
0.000916,1.32284,23.1949
0.000917,1.30429,23.1963
0.000918,1.28573,23.1966
0.000919,1.26717,23.1959
0.00092,1.24862,23.1943
0.000921,1.28362,23.1257
0.000922,1.31862,23.0574
0.000923,1.35362,22.9892
