Time,iL,v,V1,V2
0.00065,19.3566,-22.3912,1,0
0.000651,19.3117,-22.5396,1,0
0.000652,19.2665,-22.6872,1,0
0.000653,19.2209,-22.8342,1,0
0.000654,19.1751,-22.9803,1,0
0.000655,19.129,-23.1257,1,0
0.000656,19.0826,-23.2704,1,0
0.000657,19.0359,-23.4143,1,0
0.000658,18.989,-23.5575,1,0
0.000659,18.9417,-23.6999,1,0
0.00066,18.8942,-23.8415,1,0
0.000661,18.8463,-23.9824,1,0
0.000662,18.7982,-24.1225,1,0
0.000663,18.7498,-24.2618,1,0
0.000664,18.7012,-24.4004,1,0
0.000665,18.6522,-24.5383,1,0
0.000666,18.603,-24.6753,1,0
0.000667,18.5535,-24.8116,1,0
0.000668,18.5038,-24.9472,1,0
0.000669,18.4538,-25.0819,1,0
0.00067,18.4035,-25.2159,1,0
0.000671,18.3529,-25.3491,1,0
0.000672,18.3021,-25.4816,1,0
0.000673,18.251,-25.6132,1,0
0.000674,18.1996,-25.7441,1,0
0.000675,18.148,-25.8742,1,0
0.000676,18.0961,-26.0036,1,0
0.000677,18.044,-26.1322,1,0
0.000678,17.9916,-26.2599,1,0
0.000679,17.9389,-26.3869,1,0
0.00068,17.886,-26.5132,1,0
0.000681,17.8329,-26.6386,1,0
0.000682,17.7795,-26.7633,1,0
0.000683,17.7258,-26.8871,1,0
0.000684,17.6719,-27.0102,1,0
0.000685,17.6178,-27.1325,1,0
0.000686,17.5634,-27.2541,1,0
0.000687,17.5088,-27.3748,1,0
0.000688,17.4539,-27.4947,1,0
0.000689,17.3988,-27.6139,1,0
0.00069,17.3434,-27.7323,1,0
0.000691,17.2879,-27.8498,1,0
0.000692,17.232,-27.9666,1,0
0.000693,17.176,-28.0826,1,0
0.000694,17.1197,-28.1978,1,0
0.000695,17.0632,-28.3122,1,0
0.000696,17.0065,-28.4258,1,0
0.000697,16.9495,-28.5386,1,0
0.000698,16.8923,-28.6507,1,0
0.000699,16.8349,-28.7619,1,0
0.0007,16.7773,-28.8723,1,0
0.000701,16.7194,-28.9819,1,0
